,datetime,open,high,low,close,volume,ema1,ema2,signal
19,2022-07-14 08:00:00,25.055,25.117,24.419,24.574,1909063.2229,24.738200380682503,24.65955375732305,0
20,2022-07-14 12:00:00,24.574,25.463,24.422,25.416,2349141.563,24.964133587121673,24.797089437809767,0
21,2022-07-14 16:00:00,25.416,26.223,25.319,25.903,5025769.6805,25.277089058081117,24.998164085480717,0
22,2022-07-14 20:00:00,25.901,26.017,25.535,25.878,3057792.3493,25.477392705387416,25.158134251756948,0
23,2022-07-15 00:00:00,25.878,26.29,25.657,26.132,2010502.2824,25.695595136924943,25.3352007514375,0
24,2022-07-15 04:00:00,26.132,26.436,25.927,26.339,4110714.4707,25.91006342461663,25.51770970572159,0
25,2022-07-15 08:00:00,26.339,26.547,26.176,26.24,2772813.2622,26.020042283077757,25.64903521377221,0
26,2022-07-15 12:00:00,26.24,26.718,26.236,26.385,4046292.3029,26.141694855385175,25.782846993086352,0
27,2022-07-15 16:00:00,26.385,27.2,26.159,27.174,2783658.6979,26.485796570256785,26.035783903434286,0
28,2022-07-15 20:00:00,27.174,27.378,26.698,26.775,1976424.2477,26.582197713504527,26.170186830082596,0
29,2022-07-16 00:00:00,26.771,26.805,26.495,26.675,1136886.7564,26.61313180900302,26.26197104279485,0
30,2022-07-16 04:00:00,26.675,26.749,26.333,26.419,1289673.9087,26.54842120600201,26.290521762286694,0
31,2022-07-16 08:00:00,26.419,26.681,26.402,26.563,611247.2377,26.553280804001343,26.340063260052748,0
32,2022-07-16 12:00:00,26.563,27.346,26.536,27.343,2103821.9497,26.816520536000894,26.52241539458861,0
33,2022-07-16 16:00:00,27.343,28.498,27.343,27.718,9567432.5013,27.117013690667264,26.739794413754318,0
34,2022-07-16 20:00:00,27.718,28.1,27.529,27.989,1897697.7074,27.407675793778175,26.966922702162623,0
35,2022-07-17 00:00:00,27.989,28.465,27.72,28.268,3605264.1486,27.694450529185453,27.203482210860326,0
36,2022-07-17 04:00:00,28.268,28.76,28.143,28.325,2920262.6093,27.90463368612364,27.40739453615845,0
37,2022-07-17 08:00:00,28.317,28.499,27.868,28.198,1603463.1742,28.00242245741576,27.55114098412964,0
38,2022-07-17 12:00:00,28.198,28.241,27.687,27.846,1692303.3505,27.950281638277175,27.604751714287886,0
39,2022-07-17 16:00:00,27.846,28.15,27.4,27.8,2844388.8422,27.90018775885145,27.640251402599176,0
40,2022-07-17 20:00:00,27.8,27.986,27.563,27.606,2274488.872,27.802125172567635,27.63402387485387,0
41,2022-07-18 00:00:00,27.606,28.579,27.606,28.477,2414651.0396,28.027083448378427,27.787292261244072,0
42,2022-07-18 04:00:00,28.477,29.765,28.279,29.585,7444595.638,28.54638896558562,28.11414821374515,0
43,2022-07-18 08:00:00,29.584,29.943,29.237,29.395,5451822.8718,28.829259310390416,28.347030356700575,0
44,2022-07-18 12:00:00,29.395,29.914,28.981,29.794,4616811.093,29.15083954026028,28.61011574639138,0
45,2022-07-18 16:00:00,29.794,29.877,28.482,28.703,9144260.5146,29.001559693506856,28.627003792502038,0
46,2022-07-18 20:00:00,28.703,30.121,28.519,29.868,5029373.6306,29.29037312900457,28.85263946659257,0
47,2022-07-19 00:00:00,29.868,30.335,28.447,28.582,10710830.442,29.054248752669714,28.803432290848466,0
48,2022-07-19 04:00:00,28.582,28.654,27.979,28.215,4348240.2944,28.774499168446475,28.69644460160329,0
49,2022-07-19 08:00:00,28.215,28.844,28.088,28.568,2908577.6594,28.705666112297653,28.673091037675416,0
50,2022-07-19 12:00:00,28.568,29.39,28.258,29.302,12260889.3022,28.904444074865104,28.787438121734432,0
51,2022-07-19 16:00:00,29.302,29.716,28.784,29.361,6984818.0326,29.056629383243404,28.891722099600898,0
52,2022-07-19 20:00:00,29.361,29.699,28.886,29.132,1870705.758,29.081752922162273,28.935408990582552,0
53,2022-07-20 00:00:00,29.132,29.425,28.623,29.318,2257849.1741,29.160501948108184,29.004970992294812,0
54,2022-07-20 04:00:00,29.318,29.8,29.133,29.156,1999525.4267,29.159001298738794,29.03243081187757,0
55,2022-07-20 08:00:00,29.156,29.78,28.964,29.625,3408881.8707,29.314334199159198,29.140170664263465,0
56,2022-07-20 12:00:00,29.625,30.288,29.402,30.044,7289008.4517,29.557556132772802,29.304503270761018,0
57,2022-07-20 16:00:00,30.044,30.079,29.05,29.295,2690151.7288,29.470037421848538,29.302775403349923,0
58,2022-07-20 20:00:00,29.295,29.529,28.408,28.771,4108029.6903,29.237024947899027,29.20608896637721,0
59,2022-07-21 00:00:00,28.771,29.085,27.992,28.095,2323936.3075,28.85634996526602,29.00407279067226,2
60,2022-07-21 04:00:00,28.095,28.399,27.725,28.276,1753161.0172,28.662899976844017,28.87169591964094,0
61,2022-07-21 08:00:00,28.276,28.594,27.915,28.162,992350.3561,28.49593331789601,28.742660297888037,0
62,2022-07-21 12:00:00,28.162,28.536,27.946,28.35,1595713.7045,28.44728887859734,28.67126751645385,0
63,2022-07-21 16:00:00,28.35,29.533,28.335,29.507,7095772.0371,28.800525919064896,28.8232188770986,0
